model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,6.709322663509485,0.526137468843448,0.01968276787521424
resnet18,sparsity_int8,8,4.758150001969001,0.4925950609975391,0.014609741077764573
resnet18,tensorrt_fp16,8,5.169254980665265,0.526137468843448,0.015211253461988164
resnet18,sparsity_fp16,8,4.780302352134628,0.4925950609975391,0.014354093991548942
resnet18,tensorrt_fp32,8,5.027741287693833,0.526137468843448,0.014786468789377708
resnet18,tensorrt_int8,16,5.356707039264718,0.6394785080594246,0.016222138933228686
resnet18,sparsity_int8,16,6.9596280955305,0.5883457892470889,0.021295110405526244
resnet18,tensorrt_fp16,16,7.050688445929325,0.6394785080594246,0.02116725178687681
resnet18,sparsity_fp16,16,5.900801940879436,0.5883457892470889,0.017156719296757928
resnet18,tensorrt_fp32,16,5.883803409036964,0.6394785080594246,0.01722500824098769
resnet18,tensorrt_int8,32,6.439061778376079,0.7070967049280285,0.02025717862946606
resnet18,sparsity_int8,32,6.3263005697766035,0.6613404064496876,0.020698169435556118
resnet18,tensorrt_fp16,32,6.532748716273603,0.7070967049280285,0.021570027607722145
resnet18,sparsity_fp16,32,6.158162971272919,0.6613404064496876,0.019683702054099028
resnet18,tensorrt_fp32,32,6.56020763254321,0.7070967049280285,0.01953023756725293
resnet18,tensorrt_int8,64,7.588080320926691,0.7285202599519136,0.022760290354518608
resnet18,sparsity_int8,64,7.89049219927251,0.6806522828853683,0.026041901031933823
resnet18,tensorrt_fp16,64,8.086520984472818,0.7285202599519136,0.02692790462681269
resnet18,sparsity_fp16,64,7.856976521725686,0.6806522828853683,0.02662964057619074
resnet18,tensorrt_fp32,64,7.441562466274034,0.7285202599519136,0.024151398440687515
resnet18,tensorrt_int8,128,9.102844074980853,0.7313738677599658,0.026730790607166828
resnet18,sparsity_int8,128,9.04158026551547,0.6811358153003536,0.026337187823846517
resnet18,tensorrt_fp16,128,8.667676448822021,0.7313738677599658,0.025138924869307227
resnet18,sparsity_fp16,128,8.659163631805002,0.6811358153003536,0.025190423122403823
resnet18,tensorrt_fp32,128,7.232741689028805,0.7313738677599658,0.026221097931184628
resnet50,tensorrt_int8,8,25.2200597955723,0.25569785814544166,0.09477899461910759
resnet50,sparsity_int8,8,23.619276565012306,0.25311214633361256,0.09052754175620634
resnet50,tensorrt_fp16,8,25.257834380564063,0.25569785814544166,0.09389729657202957
resnet50,sparsity_fp16,8,24.64171157991043,0.25311214633361256,0.0941245727184747
resnet50,tensorrt_fp32,8,23.125168416957663,0.25569785814544166,0.0901493079133086
resnet50,tensorrt_int8,16,13.700730046358975,0.41288519643171867,0.05340894033626384
resnet50,sparsity_int8,16,13.604941955720536,0.38481912416490643,0.04952329131655023
resnet50,tensorrt_fp16,16,13.1122793871947,0.41288519643171867,0.05040371585433798
resnet50,sparsity_fp16,16,13.202144383902501,0.38481912416490643,0.04734126963214583
resnet50,tensorrt_fp32,16,12.547904399910358,0.41288519643171867,0.0467419610683892
resnet50,tensorrt_int8,32,14.41069803020465,0.47809098782290854,0.06307218084468948
resnet50,sparsity_int8,32,13.50991729338705,0.4507947844674611,0.06620831931814013
resnet50,tensorrt_fp16,32,14.545005894639205,0.47809098782290854,0.06411181547121618
resnet50,sparsity_fp16,32,13.957751895395086,0.4507947844674611,0.05922314240477798
resnet50,tensorrt_fp32,32,14.038973892162211,0.47809098782290854,0.05910882494276236
resnet50,tensorrt_int8,64,15.924012695716707,0.505063199246956,0.09988813415045417
resnet50,sparsity_int8,64,16.0583270622405,0.47400076361681454,0.10112326868466374
resnet50,tensorrt_fp16,64,17.12692051691725,0.505063199246956,0.10767661365571266
resnet50,sparsity_fp16,64,17.603672614950217,0.47400076361681454,0.10241508538020948
resnet50,tensorrt_fp32,64,17.528986975057236,0.505063199246956,0.10512189329547608
resnet50,tensorrt_int8,128,15.987076837722569,0.5143462705285582,0.13383599420807846
resnet50,sparsity_int8,128,17.634536756228094,0.4830429533573046,0.15134350384924194
resnet50,tensorrt_fp16,128,18.299976427261143,0.5143462705285582,0.1696132966375167
resnet50,sparsity_fp16,128,17.349958602696248,0.4830429533573046,0.14913853570136376
resnet50,tensorrt_fp32,128,17.272636544214535,0.5143462705285582,0.13372346953323178
