model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,6.709322663509485,0.526137468843448,0.01968276787521424
resnet18,sparsity_int8,8,4.758150001969001,0.4925950609975391,0.014609741077764573
resnet18,tensorrt_fp16,8,5.169254980665265,0.526137468843448,0.015211253461988164
resnet18,sparsity_fp16,8,4.780302352134628,0.4925950609975391,0.014354093991548942
resnet18,tensorrt_fp32,8,5.027741287693833,0.526137468843448,0.014786468789377708
resnet18,tensorrt_int8,16,5.356707039264718,0.6394785080594246,0.016222138933228686
resnet18,sparsity_int8,16,6.9596280955305,0.5883457892470889,0.021295110405526244
resnet18,tensorrt_fp16,16,7.050688445929325,0.6394785080594246,0.02116725178687681
resnet18,sparsity_fp16,16,5.900801940879436,0.5883457892470889,0.017156719296757928
resnet18,tensorrt_fp32,16,5.883803409036964,0.6394785080594246,0.01722500824098769
resnet18,tensorrt_int8,32,6.439061778376079,0.7070967049280285,0.02025717862946606
resnet18,sparsity_int8,32,6.3263005697766035,0.6613404064496876,0.020698169435556118
resnet18,tensorrt_fp16,32,6.532748716273603,0.7070967049280285,0.021570027607722145
resnet18,sparsity_fp16,32,6.158162971272919,0.6613404064496876,0.019683702054099028
resnet18,tensorrt_fp32,32,6.56020763254321,0.7070967049280285,0.01953023756725293
resnet18,tensorrt_int8,64,7.588080320926691,0.7285202599519136,0.022760290354518608
resnet18,sparsity_int8,64,7.89049219927251,0.6806522828853683,0.026041901031933823
resnet18,tensorrt_fp16,64,8.086520984472818,0.7285202599519136,0.02692790462681269
resnet18,sparsity_fp16,64,7.856976521725686,0.6806522828853683,0.02662964057619074
resnet18,tensorrt_fp32,64,7.441562466274034,0.7285202599519136,0.024151398440687515
resnet18,tensorrt_int8,128,9.102844074980853,0.7313738677599658,0.026730790607166828
resnet18,sparsity_int8,128,9.04158026551547,0.6811358153003536,0.026337187823846517
resnet18,tensorrt_fp16,128,8.667676448822021,0.7313738677599658,0.025138924869307227
resnet18,sparsity_fp16,128,8.659163631805002,0.6811358153003536,0.025190423122403823
resnet18,tensorrt_fp32,128,7.232741689028805,0.7313738677599658,0.026221097931184628
