model_name,quant_method,batch_size,latency,accuracy,energy
resnet50,tensorrt_int8,8,1.3254892609938227,0.4071226249891098,0.004491543091364704
resnet50,sparsity_int8,8,1.1879332844657127,0.2696232502884937,0.004116742132933007
resnet50,tensorrt_fp16,8,1.6451692585993294,0.4167988177426536,0.0059927281311653
resnet50,sparsity_fp16,8,1.6738115228787818,0.27094503970007705,0.005721749044072915
resnet50,tensorrt_fp32,8,2.1579434691053447,0.4135527332322766,0.009718772910412565
resnet50,tensorrt_int8,16,1.3940364920731747,0.4448855696754022,0.004850319720853502
resnet50,sparsity_int8,16,1.5350179531959571,0.2943755437930425,0.0051766305432065585
resnet50,tensorrt_fp16,16,1.6344155188762781,0.4475818172097206,0.005740906522383127
resnet50,sparsity_fp16,16,1.6717240906725026,0.2922482293663603,0.005748904671260654
resnet50,tensorrt_fp32,16,2.6599171236307932,0.45105772751449336,0.0116393147068187
resnet50,tensorrt_int8,32,1.5115354266927763,0.4796402408265136,0.005391187835458927
resnet50,sparsity_int8,32,1.5557531728030027,0.3174543012576693,0.005381437288907405
resnet50,tensorrt_fp16,32,1.4267740969937477,0.48890230341144025,0.005222443096166857
resnet50,sparsity_fp16,32,1.5589827794205482,0.3149720525023215,0.005560637103967437
resnet50,tensorrt_fp32,32,3.234466714268787,0.487849703683527,0.014434221190744152
resnet50,tensorrt_int8,64,1.6412278686138178,0.49970956038165565,0.006056701460768444
resnet50,sparsity_int8,64,1.4926830202538446,0.32528828508806545,0.005387859864488061
resnet50,tensorrt_fp16,64,1.6461812920917738,0.5041734128203613,0.006048298753907331
resnet50,sparsity_fp16,64,1.6040006366786579,0.3258607814840923,0.005844896487304419
resnet50,tensorrt_fp32,64,4.079153580381381,0.5033456436450908,0.018248090915449527
resnet50,tensorrt_int8,128,1.55361271312792,0.49969296749324016,0.0067225824141774445
resnet50,sparsity_int8,128,1.6889823544515323,0.32125212864516534,0.006418595681807451
resnet50,tensorrt_fp16,128,2.06291594080729,0.5030971847168387,0.008244439370899663
resnet50,sparsity_fp16,128,1.9763112296796825,0.32553812351128825,0.0075647705372090856
resnet50,tensorrt_fp32,128,5.651416981056945,0.5021204772877367,0.028999042286176467
