model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,0.6755644774196123,0.6471191828901117,0.005247933090511757
resnet18,sparsity_int8,8,0.6513799750443661,0.4741801344385051,0.00517665739191911
resnet18,tensorrt_fp16,8,0.797423061939201,0.6467958705894875,0.006549484410861809
resnet18,sparsity_fp16,8,0.7422959192834719,0.4664704310021015,0.00617005240669075
resnet18,tensorrt_fp32,8,2.417087941699558,0.6453363013688964,0.023586406664278334
resnet18,tensorrt_int8,16,0.6440106024645795,0.6913835148016612,0.005260225114079312
resnet18,sparsity_int8,16,0.6428533015227077,0.5018071361713939,0.005300296611198352
resnet18,tensorrt_fp16,16,0.7572209146287706,0.6871931061600194,0.006603327139062572
resnet18,sparsity_fp16,16,0.7529981420497701,0.5045025595811883,0.006751623044725601
resnet18,tensorrt_fp32,16,2.595576178666317,0.6870399202963319,0.027612770627672707
resnet18,tensorrt_int8,32,0.6607111911820278,0.726808733388733,0.0057589026975134365
resnet18,sparsity_int8,32,0.6717876748269854,0.5342532259439412,0.005651365187071612
resnet18,tensorrt_fp16,32,0.7552890158243211,0.7259672783096761,0.006654459795967081
resnet18,sparsity_fp16,32,0.7688349188344875,0.5370964529265798,0.0066700470948738416
resnet18,tensorrt_fp32,32,2.59359479105822,0.7263268337187627,0.027519256334016085
resnet18,tensorrt_int8,64,0.7683984112265884,0.7411066510819442,0.006493903749527376
resnet18,sparsity_int8,64,0.767049748771238,0.5483286370899504,0.006415374943315726
resnet18,tensorrt_fp16,64,0.8962579041916803,0.7411418707165497,0.007829855624468989
resnet18,sparsity_fp16,64,0.8986858824230978,0.547493936407645,0.0080475427843587
resnet18,tensorrt_fp32,64,2.6413679462394968,0.7403327881895154,0.029867241327445858
resnet18,tensorrt_int8,128,0.9228922732888836,0.7407919568558262,0.008444973506756244
resnet18,sparsity_int8,128,0.9061646053235825,0.5483061091540611,0.00771006947692679
resnet18,tensorrt_fp16,128,1.0809683203697205,0.7414652582717268,0.011046375367103577
resnet18,sparsity_fp16,128,1.0056582975060973,0.5479925115631051,0.010650090702323436
resnet18,tensorrt_fp32,128,3.0576517320659065,0.7413404159349938,0.037769660472694186
